Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage,Node size
Turnkey Lender,https://www.turnkey-lender.com/,"Turnkey Lender is a provider of lending automation, decision management, and risk mitigation solutions and services. The company operates across North America, Europe, and Southeast Asia with clients in countries worldwide. The company offers AI-driven solutions for SME and enterprise clients that can automate both certain parts or the entirety of the lending process for clients ranging from traditional and alternative to embedded lenders like retailers, fintech startups, auto dealers, medical institutions, and more.",United States,Product As A Service,1. Lending,2015,Emerging,"2,070,000",Series A,70
FiscalHive,https://www.fiscalhive.com/,"FiscalHive is an AI-based, financial services platform intended to establish a Loan Participation market that eliminates friction through the process, reduces broker costs, and provides analytical insights for better control of balance sheets and yield optimization.",United States,Product As A Service,1. Lending,2017,Nascent,"3,500,000",Series A,70
Fincluziv,https://www.fincluziv.com/,"Fincluziv is a SaaS for banks and credit unions that fully automates salary & invoice advances to employees & suppliers of corporations that have been pre-approved by them. Banks and credit unions can help employees & suppliers smooth their cash-flows, contributing to their financial wellbeing. It is a way for banks and credit unions to acquire new clients and generate additional revenues with limited costs and risks.",United States,Product As A Service,7. Other (eg. treasury),2018,Nascent,"20,000",Seed,70
Yoti,https://www.yoti.com/,"Yoti is a mobile ID that can be used to check people's details, prove identity to businesses, prove age, and log in without passwords. Users creates their Yoti by adding their photo and ID documents using their mobile device.",United Kingdom,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Emerging,"20,700,000",Seed,100
HyperVerge,https://hyperverge.co/,"HyperVerge offers real-time analysis of images and videos obtained from sources such as satellites, surveillance cameras, and documents. Deep-learning networks built by HyperVerge power applications for large enterprise clients in defense, energy, and financial services.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Nascent,"1,000,000",Series A,70
Element,https://www.element.in/de/,"Element has submitted a license application to the German Federal Financial Supervisory authority (BaFin) to become an insurance carrier offering private property and casualty insurance. The company offers modular insurance API engine that enables digital businesses to launch custom insurance products. Businesses can use the white label platform for real-time price calculation, underwriting or mid-term policy adjustment.",Germany,Product As A Service,6. Insurance,2016,Nascent,"59,600,000",Series A,100
Figure Technologies,figure.com,"Figure Technologies is a financial technology company leveraging blockchain, AI, and analytics to deliver home equity release solutions and other products that help improve the financial lives of customers.",United States,Product As A Service,1. Lending,2018,Emerging,"1,318,000,000",Series F,150
SecFi,secfi.com,"SecFi provides financing to option holders and shareholders of late-stage private companies without having to sell those shares. For option holders, SecFi's financing covers all the exercise cost and federal and state taxes.",United States,Product As A Service,5. Wealth Management,2017,Nascent,"557,000,000",Series D,150
SumUp Payments,sumup.co.uk,"SumUp is a financial technology company that allows businesses of all sizes to receive payments quickly and simply, both in-store and online. SumUp’s 100% digital sign-up, fast delivery, and quick and easy set-up means that merchants can be empowered by digital transactions within just minutes from receiving their card terminal.",United Kingdom,Product As A Service,2. Payments Initiation,2011,Mature,"471,280,000",Series D,150
Mirakl,mirakl.com,"Mirakl provides a marketplace platform that allows both B2B and B2C businesses to increase the number of products available for buyers, grow the lifetime value of customers, and anticipate buyer needs and preferences. The solution integrates into any eCommerce platform.",France,Product As A Service,7. Other (eg. treasury),2011,Mature,"393,000,000",Series D,150
LiftForward,liftforward.com,"LiftForward provides corporations with payment solutions that power subscription services, membership programs, and Hardware as a Service.  LiftForward’s payment solutions include digital lead generation, point-of sale software, white-labelled e-commerce platforms, inventory management, shipping, customer account management, and real-time customer analytics reporting. LiftForward also supplies the financing, providing a total end-to-end solution.",United States,Product As A Service,7. Other (eg. treasury),2013,Emerging,"350,680,000",Series C,150
Melio,meliopayments.com,"Melio lets users pay vendors by bank transfer or credit/debit card, even if vendors only accept a check.",United States,Product As A Service,2. Payments Initiation,2018,Emerging,"254,000,000",Series C,150
Forter,forter.com,"Forter provides a plug-and-play, anti-eCommerce fraud solution technology that automates the review process by instantly analyzing profile data, behavioral data, and cyber intelligence, enabling the ability to decline fraudsters and approve consumers, in real-time.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Mature,"225,000,000",Series E,150
GoCardless,gocardless.com,"GoCardless is an online direct debit provider, operating an international payments network for businesses to take and settle recurring payments from anywhere, to anywhere, in any currency.",United Kingdom,Product As A Service,2. Payments Initiation,2011,Mature,"217,320,000",Series F,150
Groundspeed Analytics,groundspeed.com,"Groundspeed Analytics uses machine learning for commercial insurance data automation, to help brokers and carriers improve financial performance. The Groundspeed platform automatically turns loss runs, exposure documents and policy files into actionable information, empowering users to identify profitable pools of risk and drive better financial outcomes.",United States,Product As A Service,6. Insurance,2016,Emerging,"32,000,000",Series C,100
Planck,planckdata.com,"Planck is a commercial insurance data platform, built to enable insurers to instantly and accurately underwrite any business. Planck's technology platform aggregates and mines large datasets, using advances in artificial intelligence (AI) to automatically generate and deliver key insights customized to the commercial underwriting process. The end result is an underwriting process with greater insurer visibility into risk factors, leading to improved new business conversion and retention rates and lower loss ratios.",United States,Product As A Service,6. Insurance,2016,Nascent,"28,000,000",Series B,100
Paystack,paystack.com,"Paystack allows Nigerian businesses to accept online payments via credit card, debit card, money transfer, and mobile money through an online platform and mobile apps.On October 15th, 2020, Paystack was acquired by Stripe at a valuation of $200M.",Nigeria,Product As A Service,3. Payments Processing,2016,Emerging,"9,420,000",Series A,70
Veem,veem.com,Veem is a payment service provider (PSP) for global commerce. The company enables businesses and payment platforms to send and receive payments in local currency by using the blockchain as a settlement rail.,United States,Product As A Service,2. Payments Initiation,2014,Mature,"92,570,000",Series D,100
Bread,getbread.com,"Lon Operations, dba Bread, seeks to develop point-of-sale financing technologies that give retailers the tools to sell more and to engage more deeply with consumers. Bread provides white-labeled, customized solutions designed to optimize business impact by putting the retailer's brand first and empowering consumers via flexible pricing options.",United States,Product As A Service,2. Payments Initiation,2014,Emerging,"206,070,000",Series E,100
Billie,billie.io,"Billie offers a B2B invoicing and payments platform for SMEs, large e-commerce players, and transnational marketplaces. The company's two core solutions include a checkout financing solution for B2B online stores, which embeds a financing option in the online checkout process, and SME invoice factoring, which is a fully automated platform that handles all outgoing invoices of SMEs.",Germany,Product As A Service,3. Payments Processing,2016,Emerging,"49,070,000",Series B,100
iyzico,iyzico.com,iyzico provides easy and secure payment system management platforms for eCommerce companies of all sizes and industries. iyziconnect offers a routing module that enables payment transactions to Turkey via one interface: a payment bridge to Turkey for payment service providers and international merchants.,Turkey,Product As A Service,3. Payments Processing,2012,Mature,"28,000,000",Series D,100
Yoco,yoco.co.za,Yoco is an African Fintech company building a financial platform for South African small businesses. Yoco offers small businesses the tools to accept digital payments in a unified way - both and the point of sale and online - run their business better through intelligent software and grow through cash advances.,South Africa,Product As A Service,2. Payments Initiation,2013,Emerging,"22,050,000",Series B,100
Sandbox Banking,sandboxbanking.com,Sandbox Banking offers a fast way to integrate new software with banking systems. The universal adaptor plugs into banking systems allowing users to easily connect fintech applications.,United States,General BaaS Platforms,9. Developer Platforms,2015,Nascent,"140,000",Seed,70
ChargeBee Technologies,chargebee.com,"ChargeBee offers a subscription management and recurring billing platform that delivers a ready plug-and-play billing solution on the cloud. Chargebee integrates with payment gateways around the world to let users automate recurring payment collection along with invoicing, taxes, accounting, email notifications, SaaS metrics and customer management.",United States,Product As A Service,7. Other (eg. treasury),2011,Mature,"93,650,000",Series F,100
RapidAPI,rapidapi.com,"RapidAPI is a conduit connecting developers with public APIs that allows them to manage all their API connections from a single interface, as well as access metrics.",United States,General BaaS Platforms,9. Developer Platforms,2014,Nascent,"62,630,000",Series B,100
Flux,tryflux.com,Flux is banking app that can completely digitize receipts and link them to existing payment cards.,United Kingdom,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"9,120,000",Series A,70
Sensibill,getsensibill.com,Sensibill provides digital banking solutions that foster stronger relationships between financial institutions and their customers. The company’s AI-powered spend management tools help customers make sense of their purchase behavior and their cash flow while unlocking revenue-driving insights for the banks that offer the solution.,Canada,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Emerging,"49,790,000",Series D,100
WalletFi,walletfi.com,"WalletFi is a subscription management platform for financial institutions and their customers. WalletFi helps users easily identify and move recurring charges, subscriptions, and card-on- file (CoF) payments across cards in their digital wallet.",United States,Product As A Service,7. Other (eg. treasury),2016,Nascent,"1,010,000",Seed,70
Anansi,withanansi.com,Anansi is an insurance platform for high-growth SMEs with an international supply chain of physical goods.,Switzerland,Product As A Service,6. Insurance,2018,Nascent,"1,000,000",Seed,70
FundGuard,fundguard.com,"FundGuard has developed an IA-powered investment fund platform. FundGuard's cloud-based investment funds operating system helps asset and fund managers administer investments across mutual funds, ETFs, hedge funds, insurance, and pension.",United States,Product As A Service,5. Wealth Management,2018,Nascent,"4,000,000",Seed,70
Next Gate Tech,nextgatetech.com,Next Gate Tech is a Luxembourg based FinTech that provides software-as-a-service solutions for the asset management industry.,Luxembourg,Product As A Service,7. Other (eg. treasury),2019,Nascent,"2,390,000",Seed,70
Finaureus Technologies,finaureus.com,"Finaureus Technologies develops bespoke digital investment products and solutions across diverse asset classes. The tools are powered by proprietary Artificial Intelligence, Machine Learning Algorithms and Cognitive Computing applications that have the ability to extract value from Big Data.",India,Product As A Service,5. Wealth Management,2017,Nascent,"1,000,000",Seed,70
Tiller,tillertech.com,Tiller provides a platform for wealth management.,United Kingdom,Product As A Service,5. Wealth Management,2016,Nascent,"1,000,000",Seed,70
Toshl,toshl.com,Toshl is an expense tracker that combines mobile phone clients and web management.,United States,Data Aggregators,11. Other Financial Data,2012,Nascent,"1,000,000",Seed,70
Segovia Technology,thesegovia.com,"Segovia Technology offers a platform that manages the complicated logistics of distribution and payments in emerging markets, addressing unique technical problems such as limited connectivity.",United States,Product As A Service,3. Payments Processing,2014,Nascent,"15,000,000",Series A,70
Interchecks Technologies,interchecks.com,"Interchecks Technologies is a platform that simplifies payments for businesses while increasing the variety of payment options for payees. It helps payees choose how they want to be paid, manage payment compliance, and track those payments. Interchecks is used to manage contractor payments, vendor payables, and general payouts.",United States,Product As A Service,3. Payments Processing,2016,Nascent,"1,000,000",Seed,70
Zeta,zeta.in,"Zeta is a fintech company dealing with digitized employee benefits, rewards, and digital payments. Zeta's cloud-based smart benefits suite called Zeta Tax Benefits aims to digitize all forms of tax-saving reimbursements for employees, such as mobile reimbursements, fuel reimbursements, gadget reimbursements, gift card and LTA.",India,Product As A Service,7. Other (eg. treasury),2015,Emerging,"23,000,000",Series C,100
BlueOcean Pay,blueoceanpay.com,BlueOcean Pay is a WeChat ecosystem solution provider for brands & merchants to acquire and engage Chinese customers.,Hong Kong,Product As A Service,3. Payments Processing,2017,Nascent,"1,600,000",Seed,70
Tamara,tamara.co,Tamara provides a buy now pay later solution for customers to pay with no fees with the ability to defer payments up to 30 days or pay in 3 installments.,Saudi Arabia,Product As A Service,7. Other (eg. treasury),2020,Nascent,"6,000,000",Seed,70
dLocal,dlocal.com,"dLocal is a 360 payments platform designed to handle mass online payments in Latin America and other emerging markets across APAC and MENA. With dLocal, there is no need to manage separate pay-in and pay-out processors, set up numerous local entities, integrate dozens of isolated acquirers and payment methods, worry about stranded funds overseas, nor undergo heavy operational burdens.",Uruguay,Product As A Service,3. Payments Processing,2016,Mature,"200,000,000",Series D,100
Earnin,earnin.com,"Earnin sells a service that lets customers get paid for the hours they work, without charging any interest on the payments that clients receive. Users simply take a picture of their time sheet and specify how much money they would like to get paid from their earnings up to that point in the pay cycle.",United States,Product As A Service,7. Other (eg. treasury),2012,Mature,"196,200,000",Series D,100
Branch,branchapp.com,"Branch is a challenger bank that partners with employers to help working Americans grow financially. Employers turn to Branch not only to help them attract and retain workers but also to reduce the costs of paper checks and paycards by offering Branch as a free financial wellness benefit and banking alternative. Employees that sign up with Branch can receive a zero-fee bank account, free instant access to earned wages, and budgeting tools to help them manage their cash flow between paychecks.",United States,Product As A Service,7. Other (eg. treasury),2014,Nascent,"10,410,000",Series A,70
DailyPay,dailypay.com,"DailyPay provides employees with real-time access to earned wages across a wide range of industries, including cleaning, healthcare, retail, transportation, and more. With DailyPay, employees can pay bills on time and avoid late fees, helping them reach their financial goals.",United States,Product As A Service,7. Other (eg. treasury),2015,Emerging,"17,500,000",Series B,70
ShapeShift,shapeshift.io,"ShapeShift is an instant exchange for Litecoin, Bitcoin, Peercoin, Dogecoin, Darkcoin, Namecoin, Feathercoin, Blackcoin and other cryptocoins.",Switzerland,Transaction Infrastructure,12. Crypto-as-a-service,2014,Nascent,"12,790,000",Series A,70
Kaleido,kaleido.io,"Kaleido, a ConsenSys business, is an all-in-one enterprise SaaS platform that simplifies deployment and operation of secure private chains.",United States,Transaction Infrastructure,12. Crypto-as-a-service,2017,Nascent,"680,000",Seed,70
Dragonchain,dragonchain.com,"Dragonchain, originally a Disney Open Source project, simplifies the integration of real business applications on a blockchain and provides features, including easy integration, protection of business data and operations, currency agnosticism, and multi-currency support. The company, also, provides professional services to build-out development and successful tokenization ecosystems with long term value, utilizing an incubation model.",United States,Transaction Infrastructure,12. Crypto-as-a-service,2017,Nascent,"1,000,000",Seed,70
Banking Circle,https://www.bankingcircle.com/,"Banking Circle is a next-generation provider of mission-critical financial services infrastructure.Banks and Payments businesses can access a range of banking services - multi-currency bank accounts, local clearing, cross border payments, and flexible business lending, compliantly and securely - without the need to build their own infrastructure and correspondent banking partner network. Built for purpose, flexible, scalable, and futureproofed solutions enable financial services businesses to seize market opportunities.",Denmark,General BaaS Platforms,9. Developer Platforms,2013,Mature,"300,000,000",Acquired,150
